match,result_link,download_link,downloaded
68 – Los Santos vs Metro,https://fedebeis.com.pa/68-los-santos-vs-metro/,https://fedebeis.com.pa/wp-content/uploads/2020/01/68.pdf,True
69 – Coclé vs Oeste,https://fedebeis.com.pa/69-cocle-vs-oeste/,https://fedebeis.com.pa/wp-content/uploads/2020/01/69.pdf,True
67 – Chiriquí vs Colón,https://fedebeis.com.pa/67-chiriqui-vs-colon/,https://fedebeis.com.pa/wp-content/uploads/2020/01/67.pdf,True
66 – Oeste vs Herrera,https://fedebeis.com.pa/66-oeste-vs-herrera/,https://fedebeis.com.pa/wp-content/uploads/2020/01/66.pdf,True
65 – Chiriquí vs Los Santos,https://fedebeis.com.pa/65-chiriqui-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/01/65.pdf,True
64 – Coclé vs Darién,https://fedebeis.com.pa/64-cocle-vs-darien/,,False
63 – Bocas del Toro vs Este,https://fedebeis.com.pa/63-bocas-del-toro-vs-este/,https://fedebeis.com.pa/wp-content/uploads/2020/01/63.pdf,True
62 – Occidente vs Metro,https://fedebeis.com.pa/62-occidente-vs-metro/,https://fedebeis.com.pa/wp-content/uploads/2020/01/62.pdf,True
61 – Veraguas vs Colón,https://fedebeis.com.pa/61-veraguas-vs-colon/,https://fedebeis.com.pa/wp-content/uploads/2020/01/61.pdf,True
60 – Veraguas vs Herrera,https://fedebeis.com.pa/60-veraguas-vs-herrera/,https://fedebeis.com.pa/wp-content/uploads/2020/01/60.pdf,True
59 – Los Santos vs Darién,https://fedebeis.com.pa/59-los-santos-vs-darien/,https://fedebeis.com.pa/wp-content/uploads/2020/01/59-1.pdf,True
58 – Chiriquí vs Oeste,https://fedebeis.com.pa/58-chiriqui-vs-oeste/,https://fedebeis.com.pa/wp-content/uploads/2020/01/58.pdf,True
57 – Occidente vs Coclé,https://fedebeis.com.pa/57-occidente-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/01/57-1.pdf,True
56 -Bocas del toro vs Metro,https://fedebeis.com.pa/56-2/,https://fedebeis.com.pa/wp-content/uploads/2020/01/56.pdf,True
55 – Este vs Colón,https://fedebeis.com.pa/55-este-vs-colon/,https://fedebeis.com.pa/wp-content/uploads/2020/01/55.pdf,True
54 – Bocas del Toro vs Los Santos,https://fedebeis.com.pa/54-bocas-del-toro-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/01/54-1.pdf,True
53 – Chiriquí vs Metro,https://fedebeis.com.pa/53-chiriqui-vs-metro/,https://fedebeis.com.pa/wp-content/uploads/2020/01/53.pdf,True
52 – Occidente vs Los Santos,https://fedebeis.com.pa/52-occidente-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/01/52.pdf,True
51 – Bocas del Toro vs Oeste,https://fedebeis.com.pa/51-bocas-del-toro-vs-oeste/,https://fedebeis.com.pa/wp-content/uploads/2020/01/51.pdf,True
50 – Chiriquí vs Coclé,https://fedebeis.com.pa/50-chiriqui-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/01/50.pdf,True
49 – Veraguas vs Darién,https://fedebeis.com.pa/49-veraguas-vs-darien/,https://fedebeis.com.pa/wp-content/uploads/2020/01/49.pdf,True
48 – Herrera vs Este,https://fedebeis.com.pa/48-herrera-vs-este/,https://fedebeis.com.pa/wp-content/uploads/2020/01/48.pdf,True
47 – Metro vs Colón,https://fedebeis.com.pa/47-metro-vs-colon/,https://fedebeis.com.pa/wp-content/uploads/2020/01/47.pdf,True
46 – Veraguas vs Coclé,https://fedebeis.com.pa/46-veraguas-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/01/46-1.pdf,True
45 – Occidente vs Este,https://fedebeis.com.pa/45-occidente-vs-este/,https://fedebeis.com.pa/wp-content/uploads/2020/01/45.pdf,True
44 – Colón vs Oeste,https://fedebeis.com.pa/44-colon-vs-oeste/,https://fedebeis.com.pa/wp-content/uploads/2020/01/44.pdf,True
43 – Herrera vs Darién,https://fedebeis.com.pa/43-herrera-vs-darien/,https://fedebeis.com.pa/wp-content/uploads/2020/01/43-corregido.pdf,True
42 – Occidente vs Oeste,https://fedebeis.com.pa/42-occidente-vs-oeste/,https://fedebeis.com.pa/wp-content/uploads/2020/01/42.pdf,True
41 – Veraguas vs Los Santos,https://fedebeis.com.pa/41-veraguas-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/01/41.pdf,True
40 – Bocas del Toro vs Coclé,https://fedebeis.com.pa/40-bocas-del-toro-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/01/40.pdf,True
39 – Colón vs Darién,https://fedebeis.com.pa/39-colon-vs-darien/,https://fedebeis.com.pa/wp-content/uploads/2020/01/39.pdf,True
38 – Chiriquí vs Este,https://fedebeis.com.pa/38-chiriqui-vs-este/,https://fedebeis.com.pa/wp-content/uploads/2020/01/38.pdf,True
37 – Herrera vs Metro,https://fedebeis.com.pa/37-herrera-vs-metro/,https://fedebeis.com.pa/wp-content/uploads/2020/01/37.pdf,True
36 – Bocas del Toro vs Veraguas,https://fedebeis.com.pa/36-bocas-del-toro-vs-veraguas/,https://fedebeis.com.pa/wp-content/uploads/2020/01/36.pdf,True
35 – Occidente vs Chiriquí,https://fedebeis.com.pa/35-occidente-vs-chiriqui/,https://fedebeis.com.pa/wp-content/uploads/2020/01/35.pdf,True
34 Herrera vs Los Santos,https://fedebeis.com.pa/34-herrera-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/01/34-CORREGIDO.pdf,True
33 – Darien vs Oeste,https://fedebeis.com.pa/33-2/,https://fedebeis.com.pa/wp-content/uploads/2020/01/33.pdf,True
32 – Metro vs Este,https://fedebeis.com.pa/32-metro-vs-este/,https://fedebeis.com.pa/wp-content/uploads/2020/01/32.pdf,True
31 – Coclé vs Colón,https://fedebeis.com.pa/31-2/,https://fedebeis.com.pa/wp-content/uploads/2020/01/31.pdf,True
28 – Coclé vs Los Santos,https://fedebeis.com.pa/28-cocle-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/01/28.pdf,True
30 – Veraguas vs Occidente,https://fedebeis.com.pa/30-veraguas-vs-occidente/,https://fedebeis.com.pa/wp-content/uploads/2020/01/30.pdf,True
29 -Chiriquí vs Bocas del Toro,https://fedebeis.com.pa/28-2/,https://fedebeis.com.pa/wp-content/uploads/2020/01/29.pdf,True
27 – Colón vs Herrera,https://fedebeis.com.pa/27-colon-vs-herrera/,https://fedebeis.com.pa/wp-content/uploads/2020/01/27.pdf,True
26 -Darién vs Este,https://fedebeis.com.pa/26-darien-vs-este/,https://fedebeis.com.pa/wp-content/uploads/2020/01/26.pdf,True
25 – Oeste vs Metro,https://fedebeis.com.pa/25-oeste-vs-metro/,https://fedebeis.com.pa/wp-content/uploads/2020/01/25.pdf,True
24 – Veraguas vs Chiriquí,https://fedebeis.com.pa/24-veraguas-vs-chiriqui/,https://fedebeis.com.pa/wp-content/uploads/2020/01/24.pdf,True
23 – Occidente vs Bocas del Toro,https://fedebeis.com.pa/23-occidente-vs-bocas-del-toro/,https://fedebeis.com.pa/wp-content/uploads/2020/01/23.pdf,True
22 – Colón vs Los Santos,https://fedebeis.com.pa/22-colon-vs-los-santos-sin-datos/,https://fedebeis.com.pa/wp-content/uploads/2020/01/22-3.pdf,True
21 -Coclé vs Herrera,https://fedebeis.com.pa/21-cocle-vs-herrera/,https://fedebeis.com.pa/wp-content/uploads/2020/01/21.pdf,True
20 – Este vs Oeste,https://fedebeis.com.pa/20-este-vs-oeste/,https://fedebeis.com.pa/wp-content/uploads/2020/01/20.pdf,True
19 – Darién vs Metro,https://fedebeis.com.pa/19-darien-vs-metro-sin-datos/,https://fedebeis.com.pa/wp-content/uploads/2020/01/19.pdf,True
18 – Colón vs Bocas del Toro,https://fedebeis.com.pa/18-colon-vs-bocas-del-toro/,https://fedebeis.com.pa/wp-content/uploads/2020/01/18.pdf,True
17 – Darién vs Chiriquí,https://fedebeis.com.pa/17-darien-vs-chiriqui/,https://fedebeis.com.pa/wp-content/uploads/2020/01/17.pdf,True
16 – Herrera vs Occidente,https://fedebeis.com.pa/16-herrera-vs-occidente/,https://fedebeis.com.pa/wp-content/uploads/2020/01/16.pdf,True
15 – Oeste vs Veraguas,https://fedebeis.com.pa/15-oeste-vs-veraguas/,https://fedebeis.com.pa/wp-content/uploads/2020/01/15.pdf,True
14 – Metro vs Coclé,https://fedebeis.com.pa/14-metro-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/01/14.pdf,True
13 – Este vs Los Santos,https://fedebeis.com.pa/13-este-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/01/13.pdf,True
12 – Darién vs Bocas del Toro,https://fedebeis.com.pa/12-darien-vs-bocas-del-toro/,https://fedebeis.com.pa/wp-content/uploads/2020/01/12.pdf,True
11 – Herrera vs Chiriquí,https://fedebeis.com.pa/11-herrera-vs-chiriqui/,https://fedebeis.com.pa/wp-content/uploads/2020/01/11.pdf,True
10 – Colón vs Occidente,https://fedebeis.com.pa/10-colon-vs-occidente/,https://fedebeis.com.pa/wp-content/uploads/2020/01/informe-de-resumen-de-partido10-1.pdf,True
9 – Metro vs Veraguas,https://fedebeis.com.pa/9-metro-vs-veraguas/,https://fedebeis.com.pa/wp-content/uploads/2020/01/9.pdf,True
8 – Este vs Coclé,https://fedebeis.com.pa/8-este-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/01/8.pdf,True
7 – Oeste vs Los Santos,https://fedebeis.com.pa/7-oeste-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/01/7.pdf,True
6 – Herrera vs Bocas del Toro,https://fedebeis.com.pa/6-herrera-vs-bocas-del-toro/,https://fedebeis.com.pa/wp-content/uploads/2020/01/bocas.pdf,True
5 – Colón vs Chiriquí,https://fedebeis.com.pa/5-colon-vs-chiriqui/,https://fedebeis.com.pa/wp-content/uploads/2020/01/chiriqui.pdf,True
4 – Darién vs Occidente,https://fedebeis.com.pa/4-darien-vs-occidente/,https://fedebeis.com.pa/wp-content/uploads/2020/01/darien.pdf,True
3 – Este vs Veraguas,https://fedebeis.com.pa/3-este-vs-veraguas/,https://fedebeis.com.pa/wp-content/uploads/2020/01/ESTE.htm.pdf,True
2 – Oeste vs Coclé,https://fedebeis.com.pa/2-oeste-vs-cocle/,https://fedebeis.com.pa/wp-content/uploads/2020/01/OESTE.htm.pdf,True
1 – Pma. Metro vs Los Santos,https://fedebeis.com.pa/1-pma-metro-vs-los-santos/,https://fedebeis.com.pa/wp-content/uploads/2020/01/los-santos.pdf,True
